fingerprint,path,size_bytes
358c4d9fd5668efbf81d4634b68321fcea8cd632a53e26c1dd9a32c823448b62,exports\audit_workspace\Audit Sample Duplicate.mp4,4694211
358c4d9fd5668efbf81d4634b68321fcea8cd632a53e26c1dd9a32c823448b62,exports\audit_workspace\Audit Sample One.mp4,4694211
