priority,source_type,title,caption,hashtags,source
1,local,branded-20260723-144852-pre-processed,branded-20260723-144852-pre-processed #Branded #Pre #Processed #Main,#Branded #Pre #Processed #Main #Mp4 #Tiktokautouploader #TikTok,TiktokAutoUploader-main\VideosDirPath\branded-20260723-144852-pre-processed.mp4
2,local,watermarked-20260723-144853-pre-processed,watermarked-20260723-144853-pre-processed #Pre #Processed #Watermarked #Main,#Pre #Processed #Watermarked #Main #Mp4 #Tiktokautouploader #TikTok,TiktokAutoUploader-main\VideosDirPath\watermarked-20260723-144853-pre-processed.mp4
